Gene description	Synonyms
Acrosomal vesicle protein 1	ACRV-1; ACRV1
Actin alpha 1, skeletal muscle	ACTA-1; ACTA1
Actin alpha 2, smooth muscle	ACTA-2; ACTA2
Actin alpha cardiac muscle 1	ACTC-1; ACTC1
Actin beta	ACTB
Actin beta like 2	ACTBL-2; ACTBL2
Actin binding LIM protein 1	ABLIM-1; ABLIM1
Actin binding LIM protein family member 2	ABLIM-2; ABLIM2
Actin binding LIM protein family member 3	ABLIM-3; ABLIM3
Actin binding Rho activating protein	ABRA
Actin binding transcription modulator	ABITRAM
Actin filament associated protein 1	AFAP-1; AFAP1
Actin filament associated protein 1 like 1	AFAP1L1
Actin filament associated protein 1 like 2	AFAP1L2
Actin gamma 1	ACTG-1; ACTG1; Actin gamma-1
Actin gamma 2, smooth muscle	ACTG-2; ACTG2
Actin like 6A	ACTL6A
Actin like 6B	ACTL6B
Actin like 7A	ACTL7A
Actin like 7B	ACTL7B
Actin like 8	Actin like-8; ACTL-8; ACTL8
Actin like 9	Actin like-9; ACTL-9; ACTL9
Actin related protein 10	ACTR-10; ACTR10
Actin related protein 1A	ACTR1A
Actin related protein 1B	ACTR1B
Actin related protein 2	ACTR-2; ACTR2
Actin related protein 2/3 complex inhibitor	ARPIN
Actin related protein 2/3 complex subunit 1A	ARPC1A
Actin related protein 2/3 complex subunit 1B	ARPC1B
Actin related protein 2/3 complex subunit 2	ARPC-2; ARPC2
Actin related protein 2/3 complex subunit 3	ARPC-3; ARPC3
Actin related protein 2/3 complex subunit 4	ARPC-4; ARPC4
Actin related protein 2/3 complex subunit 5	ARPC-5; ARPC5
Actin related protein 2/3 complex subunit 5 like	ARPC5L
Actin related protein 3	ACTR-3; ACTR3
Actin related protein 5	ACTR-5; ACTR5
Actin related protein 6	ACTR-6; ACTR6
Actin related protein 8	ACTR-8; ACTR8
Actinin alpha 1	Actinin alpha-1; ACTN-1; ACTN1
Actinin alpha 2	Actinin alpha-2; ACTN-2; ACTN2
Actinin alpha 3	Actinin alpha-3; ACTN-3; ACTN3
Actinin alpha 4	Actinin alpha-4; ACTN-4; ACTN4
Activated leukocyte cell adhesion molecule	ALCAM
Activating signal cointegrator 1 complex subunit 1	ASCC-1; ASCC1
Activating signal cointegrator 1 complex subunit 2	ASCC-2; ASCC2
Activating signal cointegrator 1 complex subunit 3	ASCC-3; ASCC3
Activating transcription factor 1	ATF-1; ATF1
Activating transcription factor 2	ATF-2; ATF2
Activating transcription factor 3	ATF-3; ATF3
Activating transcription factor 4	ATF-4; ATF4
Activating transcription factor 5	ATF-5; ATF5
Activating transcription factor 6	ATF-6; ATF6
Activating transcription factor 6 beta	ATF6B
Activating transcription factor 7	ATF-7; ATF7
Activating transcription factor 7 interacting protein	ATF7IP
Activating transcription factor 7 interacting protein 2	ATF7IP2
Activation induced cytidine deaminase	AICDA
Activator of basal transcription 1	ABT-1; ABT1
Activator of HSP90 ATPase activity 1	AHSA-1; AHSA1
Activator of transcription and developmental regulator AUTS2	AUTS-2; AUTS2
Activin A receptor like type 1	ACVRL-1; ACVRL1
Activin A receptor type 1	ACVR-1; ACVR1
Activin A receptor type 1B	ACVR1B
Activin A receptor type 1C	ACVR1C
Activin A receptor type 2A	ACVR2A
Activin A receptor type 2B	ACVR2B
Activity dependent neuroprotector homeobox	ADNP
Activity regulated cytoskeleton associated protein	ARC
Acyl-CoA binding domain containing 3	ACBD-3; ACBD3
Acyl-CoA binding domain containing 4	ACBD-4; ACBD4
Acyl-CoA binding domain containing 5	ACBD-5; ACBD5
Acyl-CoA binding domain containing 6	ACBD-6; ACBD6
Acyl-CoA binding domain containing 7	ACBD-7; ACBD7
Acyl-CoA dehydrogenase family member 10	ACAD-10; ACAD10
Acyl-CoA dehydrogenase family member 11	ACAD-11; ACAD11
Acyl-CoA dehydrogenase family member 8	ACAD-8; ACAD8
Acyl-CoA dehydrogenase family member 9	ACAD-9; ACAD9
Acyl-CoA dehydrogenase long chain	ACADL
Acyl-CoA dehydrogenase medium chain	ACADM
Acyl-CoA dehydrogenase short chain	ACADS
Acyl-CoA dehydrogenase short/branched chain	ACADSB
Acyl-CoA dehydrogenase very long chain	ACADVL
Acyl-CoA oxidase 1	ACOX-1; ACOX1; Acyl-CoA oxidase-1
Acyl-CoA oxidase 2	ACOX-2; ACOX2; Acyl-CoA oxidase-2
Acyl-CoA oxidase 3, pristanoyl	ACOX-3; ACOX3
Acyl-CoA synthetase bubblegum family member 1	ACSBG-1; ACSBG1
Acyl-CoA synthetase bubblegum family member 2	ACSBG-2; ACSBG2
Acyl-CoA synthetase family member 2	ACSF-2; ACSF2
Acyl-CoA synthetase family member 3	ACSF-3; ACSF3
Acyl-CoA synthetase long chain family member 1	ACSL-1; ACSL1
Acyl-CoA synthetase long chain family member 3	ACSL-3; ACSL3
Acyl-CoA synthetase long chain family member 4	ACSL-4; ACSL4
Acyl-CoA synthetase long chain family member 5	ACSL-5; ACSL5
Acyl-CoA synthetase long chain family member 6	ACSL-6; ACSL6
Acyl-CoA synthetase medium chain family member 1	ACSM-1; ACSM1
Acyl-CoA synthetase medium chain family member 2A	ACSM2A
Acyl-CoA synthetase medium chain family member 2B	ACSM2B
Acyl-CoA synthetase medium chain family member 3	ACSM-3; ACSM3
Acyl-CoA synthetase medium chain family member 5	ACSM-5; ACSM5
Acyl-CoA synthetase short chain family member 1	ACSS-1; ACSS1
Acyl-CoA synthetase short chain family member 2	ACSS-2; ACSS2
Acyl-CoA synthetase short chain family member 3	ACSS-3; ACSS3
Acyl-CoA thioesterase 1	ACOT-1; ACOT1; Acyl-CoA thioesterase-1
Acyl-CoA thioesterase 11	ACOT-11; ACOT11; Acyl-CoA thioesterase-11
Acyl-CoA thioesterase 12	ACOT-12; ACOT12; Acyl-CoA thioesterase-12
Acyl-CoA thioesterase 13	ACOT-13; ACOT13; Acyl-CoA thioesterase-13
Acyl-CoA thioesterase 2	ACOT-2; ACOT2; Acyl-CoA thioesterase-2
Acyl-CoA thioesterase 4	ACOT-4; ACOT4; Acyl-CoA thioesterase-4
Acyl-CoA thioesterase 7	ACOT-7; ACOT7; Acyl-CoA thioesterase-7
Acyl-CoA thioesterase 8	ACOT-8; ACOT8; Acyl-CoA thioesterase-8
Acyl-CoA thioesterase 9	ACOT-9; ACOT9; Acyl-CoA thioesterase-9
Acyl-CoA wax alcohol acyltransferase 1	AWAT-1; AWAT1
Acyl-CoA wax alcohol acyltransferase 2	AWAT-2; AWAT2
Acylaminoacyl-peptide hydrolase	APEH
Acylglycerol kinase	AGK
Acyloxyacyl hydrolase	AOAH
Acylphosphatase 1	Acylphosphatase-1; ACYP-1; ACYP1
Acylphosphatase 2	Acylphosphatase-2; ACYP-2; ACYP2
ADAM like decysin 1	ADAMDEC-1; ADAMDEC1
ADAM metallopeptidase domain 10	ADAM-10; ADAM10
ADAM metallopeptidase domain 12	ADAM-12; ADAM12
ADAM metallopeptidase domain 15	ADAM-15; ADAM15
ADAM metallopeptidase domain 17	ADAM-17; ADAM17
ADAM metallopeptidase domain 19	ADAM-19; ADAM19
ADAM metallopeptidase domain 21	ADAM-21; ADAM21
ADAM metallopeptidase domain 22	ADAM-22; ADAM22
ADAM metallopeptidase domain 23	ADAM-23; ADAM23
ADAM metallopeptidase domain 28	ADAM-28; ADAM28
ADAM metallopeptidase domain 29	ADAM-29; ADAM29
ADAM metallopeptidase domain 30	ADAM-30; ADAM30
ADAM metallopeptidase domain 32	ADAM-32; ADAM32
ADAM metallopeptidase domain 33	ADAM-33; ADAM33
ADAM metallopeptidase domain 7	ADAM-7; ADAM7
ADAM metallopeptidase domain 8	ADAM-8; ADAM8
ADAM metallopeptidase domain 9	ADAM-9; ADAM9
ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAMTS-1; ADAMTS1
ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAMTS-10; ADAMTS10
ADAM metallopeptidase with thrombospondin type 1 motif 12	ADAMTS-12; ADAMTS12
ADAM metallopeptidase with thrombospondin type 1 motif 13	ADAMTS-13; ADAMTS13
ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS-18; ADAMTS18
ADAM metallopeptidase with thrombospondin type 1 motif 3	ADAMTS-3; ADAMTS3
ADAM metallopeptidase with thrombospondin type 1 motif 4	ADAMTS-4; ADAMTS4
ADAM metallopeptidase with thrombospondin type 1 motif 5	ADAMTS-5; ADAMTS5
ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAMTS-7; ADAMTS7
ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAMTS-9; ADAMTS9
ADAMTS like 1	ADAMTS like-1; ADAMTSL-1; ADAMTSL1
ADAMTS like 2	ADAMTS like-2; ADAMTSL-2; ADAMTSL2
ADAMTS like 3	ADAMTS like-3; ADAMTSL-3; ADAMTSL3
ADAMTS like 4	ADAMTS like-4; ADAMTSL-4; ADAMTSL4
Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	APPL-1; APPL1
Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	APPL-2; APPL2
Adaptor related protein complex 1 associated regulatory protein	AP1AR
Adaptor related protein complex 1 subunit beta 1	AP1B1
Adaptor related protein complex 1 subunit gamma 1	AP1G1
Adaptor related protein complex 1 subunit gamma 2	AP1G2
Adaptor related protein complex 1 subunit mu 1	AP1M1
Adaptor related protein complex 1 subunit mu 2	AP1M2
Adaptor related protein complex 1 subunit sigma 1	AP1S1
Adaptor related protein complex 1 subunit sigma 2	AP1S2
Adaptor related protein complex 1 subunit sigma 3	AP1S3
Adaptor related protein complex 2 subunit alpha 1	AP2A1
Adaptor related protein complex 2 subunit alpha 2	AP2A2
Adaptor related protein complex 2 subunit beta 1	AP2B1
Adaptor related protein complex 2 subunit mu 1	AP2M1
Adaptor related protein complex 2 subunit sigma 1	AP2S1
Adaptor related protein complex 3 subunit beta 1	AP3B1
Adaptor related protein complex 3 subunit beta 2	AP3B2
Adaptor related protein complex 3 subunit delta 1	AP3D1
Adaptor related protein complex 3 subunit mu 1	AP3M1
Adaptor related protein complex 3 subunit mu 2	AP3M2
Adaptor related protein complex 3 subunit sigma 1	AP3S1
Adaptor related protein complex 4 subunit beta 1	AP4B1
Adaptor related protein complex 4 subunit epsilon 1	AP4E1
Adaptor related protein complex 4 subunit mu 1	AP4M1
Adaptor related protein complex 4 subunit sigma 1	AP4S1
Adaptor related protein complex 5 subunit beta 1	AP5B1
Adaptor related protein complex 5 subunit mu 1	AP5M1
Adaptor related protein complex 5 subunit sigma 1	AP5S1
Adaptor related protein complex 5 subunit zeta 1	AP5Z1
ADCYAP receptor type I	ADCYAP1R1
Adducin 1	ADD-1; ADD1; Adducin-1
Adducin 2	ADD-2; ADD2; Adducin-2
Adducin 3	ADD-3; ADD3; Adducin-3
Adenine nucleotide translocase lysine methyltransferase	ANTKMT
Adenine phosphoribosyltransferase	APRT
Adenosine A1 receptor	ADORA-1; ADORA1
Adenosine A2a receptor	ADORA2A
Adenosine A2b receptor	ADORA2B
Adenosine A3 receptor	ADORA-3; ADORA3
Adenosine deaminase	ADA
Adenosine deaminase 2	ADA-2; ADA2; Adenosine deaminase-2
Adenosine deaminase like	ADAL
Adenosine deaminase RNA specific	ADAR
Adenosine deaminase RNA specific B1	ADARB-1; ADARB1
Adenosine deaminase RNA specific B2 (inactive)	ADARB-2; ADARB2
Adenosine deaminase tRNA specific 1	ADAT-1; ADAT1
Adenosine deaminase tRNA specific 2	ADAT-2; ADAT2
Adenosine kinase	ADK
Adenosine monophosphate deaminase 1	AMPD-1; AMPD1
Adenosine monophosphate deaminase 2	AMPD-2; AMPD2
Adenosine monophosphate deaminase 3	AMPD-3; AMPD3
Adenosylhomocysteinase	AHCY
Adenosylhomocysteinase like 1	Adenosylhomocysteinase like-1; AHCYL-1; AHCYL1
Adenosylhomocysteinase like 2	Adenosylhomocysteinase like-2; AHCYL-2; AHCYL2
Adenosylmethionine decarboxylase 1	Adenosylmethionine decarboxylase-1; AMD-1; AMD1
Adenylate cyclase 1	ADCY-1; ADCY1; Adenylate cyclase-1
Adenylate cyclase 10	ADCY-10; ADCY10; Adenylate cyclase-10
Adenylate cyclase 2	ADCY-2; ADCY2; Adenylate cyclase-2
Adenylate cyclase 3	ADCY-3; ADCY3; Adenylate cyclase-3
Adenylate cyclase 4	ADCY-4; ADCY4; Adenylate cyclase-4
Adenylate cyclase 5	ADCY-5; ADCY5; Adenylate cyclase-5
Adenylate cyclase 6	ADCY-6; ADCY6; Adenylate cyclase-6
Adenylate cyclase 7	ADCY-7; ADCY7; Adenylate cyclase-7
Adenylate cyclase 8	ADCY-8; ADCY8; Adenylate cyclase-8
Adenylate cyclase 9	ADCY-9; ADCY9; Adenylate cyclase-9
Adenylate cyclase activating polypeptide 1	ADCYAP-1; ADCYAP1
Adenylate kinase 1	Adenylate kinase-1; AK-1; AK1
Adenylate kinase 2	Adenylate kinase-2; AK-2; AK2
Adenylate kinase 3	Adenylate kinase-3; AK-3; AK3
Adenylate kinase 4	Adenylate kinase-4; AK-4; AK4
Adenylate kinase 5	Adenylate kinase-5; AK-5; AK5
Adenylate kinase 6	Adenylate kinase-6; AK-6; AK6
Adenylate kinase 7	Adenylate kinase-7; AK-7; AK7
Adenylate kinase 8	Adenylate kinase-8; AK-8; AK8
Adenylate kinase 9	Adenylate kinase-9; AK-9; AK9
Adenylosuccinate lyase	ADSL
Adenylosuccinate synthase 1	Adenylosuccinate synthase-1; ADSS-1; ADSS1
Adenylosuccinate synthase 2	Adenylosuccinate synthase-2; ADSS-2; ADSS2
Adherens junctions associated protein 1	AJAP-1; AJAP1
Adhesion G protein-coupled receptor A2	ADGRA-2; ADGRA2
Adhesion G protein-coupled receptor A3	ADGRA-3; ADGRA3
Adhesion G protein-coupled receptor B1	ADGRB-1; ADGRB1
Adhesion G protein-coupled receptor B2	ADGRB-2; ADGRB2
Adhesion G protein-coupled receptor B3	ADGRB-3; ADGRB3
Adhesion G protein-coupled receptor D1	ADGRD-1; ADGRD1
Adhesion G protein-coupled receptor E2	ADGRE-2; ADGRE2
Adhesion G protein-coupled receptor E5	ADGRE-5; ADGRE5
Adhesion G protein-coupled receptor F1	ADGRF-1; ADGRF1
Adhesion G protein-coupled receptor F4	ADGRF-4; ADGRF4
Adhesion G protein-coupled receptor F5	ADGRF-5; ADGRF5
Adhesion G protein-coupled receptor G1	ADGRG-1; ADGRG1
Adhesion G protein-coupled receptor G2	ADGRG-2; ADGRG2
Adhesion G protein-coupled receptor G3	ADGRG-3; ADGRG3
Adhesion G protein-coupled receptor G4	ADGRG-4; ADGRG4
Adhesion G protein-coupled receptor G5	ADGRG-5; ADGRG5
Adhesion G protein-coupled receptor G6	ADGRG-6; ADGRG6
Adhesion G protein-coupled receptor G7	ADGRG-7; ADGRG7
Adhesion G protein-coupled receptor L1	ADGRL-1; ADGRL1
Adhesion G protein-coupled receptor L2	ADGRL-2; ADGRL2
Adhesion G protein-coupled receptor L3	ADGRL-3; ADGRL3
Adhesion G protein-coupled receptor L4	ADGRL-4; ADGRL4
Adhesion G protein-coupled receptor V1	ADGRV-1; ADGRV1
Adhesion molecule with Ig like domain 1	AMIGO-1; AMIGO1
Adhesion molecule with Ig like domain 2	AMIGO-2; AMIGO2
Adipocyte plasma membrane associated protein	APMAP
Adipogenesis associated Mth938 domain containing	AAMDC
Adipogenesis regulatory factor	ADIRF
Adiponectin receptor 1	Adiponectin receptor-1; ADIPOR-1; ADIPOR1
